,precision,recall,f1-score,support
B--DE,0.7512643290627107,0.893892287634139,0.8163956949851157,9971.0
B--FE,0.7450253367939687,0.872990586531499,0.8039477193918378,6905.0
IR--DE,0.8418472399254829,0.8722950320024383,0.8568007184911686,9843.0
IR--FE,0.6666666666666666,0.9123823316437364,0.7704066034851728,6905.0
N--N,0.9860540846665723,1.0,0.9929780787738371,13929.0
OR--DE,0.970629285757631,0.7537700282752121,0.8485636223772514,21220.0
OR--FE,0.904334135951102,0.7981853849926435,0.8479506773185134,12234.0
accuracy,0.858148061278655,0.858148061278655,0.858148061278655,0.858148061278655
macro avg,0.8379744398320191,0.8719308072970955,0.8481490164032709,81007.0
weighted avg,0.875480105421629,0.858148061278655,0.8598791198127529,81007.0
