,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,5730,329,121,431,0,1904,1456
B--FE,8,4956,26,809,0,52,1053
IR--DE,135,55,7786,557,0,1165,145
IR--FE,0,76,1,6481,0,1,346
N--N,572,0,2,0,13354,1,0
OR--DE,410,238,535,618,0,17741,1679
OR--FE,1,343,3,1278,0,8,10601
