,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,5101,152,77,359,43,2678,1561
B--FE,10,4801,8,452,0,49,1585
IR--DE,235,263,7384,669,11,940,341
IR--FE,1,278,0,5386,0,1,1238
N--N,0,0,0,0,13929,0,0
OR--DE,155,557,562,1020,3,17282,1642
OR--FE,2,54,0,351,0,12,11815
