,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,8913,165,83,266,71,264,209
B--FE,34,6028,49,626,0,44,124
IR--DE,613,100,8586,244,118,141,41
IR--FE,19,360,9,6300,0,1,216
N--N,0,0,0,0,13929,0,0
OR--DE,2171,450,1464,689,8,15995,443
OR--FE,114,988,8,1325,0,34,9765
