,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,6119,316,94,556,7,1358,1522
B--FE,6,5979,2,541,0,29,348
IR--DE,296,257,7315,984,11,894,85
IR--FE,0,580,0,5537,0,1,787
N--N,5,0,0,0,13897,0,27
OR--DE,336,625,375,1106,0,17349,1430
OR--FE,0,714,0,545,0,5,10970
