,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,4944,423,443,1095,10,2302,754
B--FE,12,4936,6,1210,0,30,711
IR--DE,263,337,7192,447,1,1308,295
IR--FE,0,41,1,6751,0,2,110
N--N,4,0,0,0,13923,1,0
OR--DE,309,360,923,581,1,17650,1397
OR--FE,2,473,1,2575,0,7,9176
