,precision,recall,f1-score,support
B--DE--0007,0.7556451612903226,0.916232073011734,0.8282262816735415,3068.0
B--DE--0014,0.8909916729750189,0.7672750977835724,0.8245183887915937,3068.0
B--DE--0021,0.8726166328600405,0.7011082138200783,0.7775167178745708,3068.0
B--DE--0028,1.0,0.9895697522816167,0.9947575360419397,767.0
B--FE--0007,0.8074950690335305,0.8892267593397046,0.846392391978499,2302.0
B--FE--0014,0.7925196850393701,0.8748370273794003,0.8316463540590787,2301.0
B--FE--0021,0.8250118877793629,0.7536924413553432,0.7877412031782066,2302.0
IR--DE--0007,0.9895833333333334,0.9908735332464146,0.990228013029316,3068.0
IR--DE--0014,0.8801307664366146,0.8241496598639456,0.8512207974705779,2940.0
IR--DE--0021,0.8480758184951177,0.96251629726206,0.9016793893129771,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.8994932432432432,0.9256844850065189,0.9124009423859499,2301.0
IR--FE--0014,0.806377257011141,0.9118158123370982,0.855861365953109,2302.0
IR--FE--0021,0.8621688741721855,0.9048653344917463,0.8830012717253073,2302.0
N--N--N,0.9972791064012602,1.0,0.9986376998637699,13928.0
OR--DE--0007,0.9303770802612176,0.9734405995150981,0.9514218009478673,9074.0
OR--DE--0014,0.8073170731707318,0.863102998696219,0.8342785129174544,3068.0
OR--DE--0021,0.9375718555989883,0.8982266769468004,0.9174776396467346,9079.0
OR--FE--0007,0.8684863523573201,0.8618192352259559,0.8651399491094147,6904.0
OR--FE--0014,0.9054098904746101,0.9009247027741083,0.903161728190697,3028.0
OR--FE--0021,0.9445945945945946,0.6072980017376195,0.7392913802221047,2302.0
accuracy,0.9012184132235486,0.9012184132235486,0.9012184132235486,0.9012184132235486
macro avg,0.8867212073584761,0.8817456524797633,0.880695207827272,81007.0
weighted avg,0.9038035562892893,0.9012184132235486,0.9000678229535424,81007.0
