,precision,recall,f1-score,support
B--DE,0.87333489132975,0.7495737639153546,0.8067353877705219,9971.0
B--FE,0.8228054567022538,0.8036205648081101,0.8130998607956627,6905.0
IR--DE,0.9300375469336671,0.7549527583053947,0.8333987551169181,9843.0
IR--FE,0.6147352968162216,0.9703113685734974,0.7526398562120872,6905.0
N--N,0.9894161102429322,1.0,0.9946799014532082,13929.0
OR--DE,0.8840105794662179,0.8663053722902921,0.8750684279424015,21220.0
OR--FE,0.8513773758687097,0.831126369135197,0.8411299995863838,12234.0
accuracy,0.8596047255175479,0.8596047255175479,0.8596047255175479,0.8596047255175479
macro avg,0.8522453224799647,0.8536985995754066,0.8452503126967406,81007.0
weighted avg,0.8733150590836204,0.8596047255175479,0.8613177632455654,81007.0
