,precision,recall,f1-score,support
B--DE,0.9532805200081251,0.4706649282920469,0.6301866523432255,9971.0
B--FE,0.7862850501234927,0.783779869659667,0.7850304612706701,6905.0
IR--DE,0.8727254244180136,0.8721934369602763,0.8724593495934959,9843.0
IR--FE,0.6677355953242992,0.9348298334540188,0.7790248612116824,6905.0
N--N,0.9997846374730797,0.9999282021826537,0.9998564146744203,13928.0
OR--DE,0.7990226274074986,0.9168747938362942,0.8539015184762574,21221.0
OR--FE,0.8652768044849334,0.8074219388589178,0.8353488372093023,12234.0
accuracy,0.8444578863555001,0.8444578863555001,0.8444578863555001,0.8444578863555001
macro avg,0.8491586656056346,0.8265275718919821,0.8222582992541506,81007.0
weighted avg,0.8592129693405852,0.8444578863555001,0.8386597754748641,81007.0
