,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,3119,318,243,1189,1,4434,668
B--FE,1,4357,6,1227,0,165,1149
IR--DE,23,62,7721,327,0,1597,112
IR--FE,0,103,0,5714,0,11,1077
N--N,36,0,276,0,13614,3,0
OR--DE,13,66,450,281,0,19855,556
OR--FE,0,439,0,995,0,86,10714
