,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,7720,77,36,97,0,860,1181
B--FE,34,5256,18,334,0,121,1141
IR--DE,644,97,7080,105,0,1734,183
IR--FE,3,291,25,5452,0,43,1091
N--N,85,0,0,0,13844,0,0
OR--DE,859,80,131,105,0,19175,871
OR--FE,8,156,0,170,0,61,11839
