,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,5560,634,95,388,52,1943,1299
B--FE,6,5973,2,469,0,43,412
IR--DE,280,263,7440,933,11,833,83
IR--FE,0,226,0,6189,0,1,488
N--N,0,1,0,0,13928,0,0
OR--DE,304,493,266,646,0,18324,1188
OR--FE,0,979,0,751,0,10,10494
