,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,4693,329,234,655,3,3737,320
B--FE,12,5412,39,720,0,128,594
IR--DE,133,83,8585,97,0,889,56
IR--FE,1,101,19,6455,0,35,294
N--N,0,0,0,1,13927,0,0
OR--DE,78,284,957,171,0,19457,274
OR--FE,6,674,3,1568,0,105,9878
