,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,7474,170,58,737,115,1048,369
B--FE,13,5549,9,989,1,47,297
IR--DE,482,199,7431,306,30,1294,101
IR--FE,0,39,3,6700,0,8,155
N--N,0,0,0,0,13929,0,0
OR--DE,583,390,489,519,3,18383,853
OR--FE,6,397,0,1648,0,15,10168
