,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,9368,22,58,55,0,361,107
B--FE,34,6499,23,132,0,58,159
IR--DE,94,17,9526,16,2,177,11
IR--FE,38,83,11,6623,0,39,111
N--N,0,0,0,0,13928,0,0
OR--DE,239,35,180,39,0,20681,47
OR--FE,74,131,14,117,0,81,11817
