,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,9360,26,72,59,0,326,128
B--FE,36,6509,21,117,0,52,170
IR--DE,102,17,9528,20,2,153,21
IR--FE,47,65,8,6590,0,56,139
N--N,0,0,0,0,13929,0,0
OR--DE,288,41,186,42,0,20586,77
OR--FE,74,122,6,152,0,70,11810
