,precision,recall,f1-score,support
B--DE,0.9480177993527508,0.940126366462742,0.9440555919230575,9971.0
B--FE,0.9575409111012826,0.9407589803012746,0.9490757653247607,6904.0
IR--DE,0.9703749106139544,0.9650513054962918,0.9677057864710676,9843.0
IR--FE,0.9469405220367993,0.9614771904417089,0.9541534923828686,6905.0
N--N,0.9997129117921482,1.0,0.9998564352882061,13929.0
OR--DE,0.9679219622004408,0.9725743367419066,0.9702425723956375,21221.0
OR--FE,0.9619706840390879,0.9655877063920222,0.963775801582769,12234.0
accuracy,0.9676694606638933,0.9676694606638933,0.9676694606638933,0.9676694606638933
macro avg,0.9646399573052091,0.9636536979765638,0.9641236350526238,81007.0
weighted avg,0.9676644602833012,0.9676694606638933,0.9676510225598555,81007.0
