,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,9353,30,77,55,2,334,120
B--FE,41,6474,20,149,0,56,165
IR--DE,89,11,9530,12,0,181,20
IR--FE,39,81,8,6623,0,32,121
N--N,1,0,0,0,13928,0,0
OR--DE,268,32,180,33,0,20645,63
OR--FE,77,121,7,137,0,72,11820
