,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,9374,25,63,69,1,332,107
B--FE,29,6495,30,116,0,57,177
IR--DE,102,22,9499,20,3,180,17
IR--FE,41,60,16,6639,0,41,108
N--N,0,0,0,0,13929,0,0
OR--DE,270,41,174,39,0,20639,58
OR--FE,72,140,7,128,0,74,11813
