,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,9370,26,65,50,0,325,136
B--FE,32,6468,23,131,0,62,189
IR--DE,89,14,9541,10,0,162,26
IR--FE,41,75,13,6602,0,34,140
N--N,1,0,0,0,13928,0,0
OR--DE,244,31,192,31,0,20661,62
OR--FE,80,146,8,163,0,85,11752
