,precision,recall,f1-score,support
B--DE--0007,0.9364873622812703,0.9419817470664928,0.9392265193370166,3068.0
B--DE--0014,0.9374788779993241,0.9041720990873533,0.9205243072838891,3068.0
B--DE--0021,0.9427917620137299,0.940026075619296,0.9414068875469235,3068.0
B--DE--0028,1.0,0.9986979166666666,0.9993485342019544,768.0
B--FE--0007,0.9688459850811759,0.9591659426585578,0.9639816633922724,2302.0
B--FE--0014,0.9429982046678635,0.9130812690134724,0.9277986310443807,2301.0
B--FE--0021,0.9646643109540636,0.94874022589053,0.9566360052562418,2302.0
IR--DE--0007,0.9951282884053264,0.9986962190352021,0.9969090613307304,3068.0
IR--DE--0014,0.9517618884707493,0.9465804695474651,0.9491641078130331,2939.0
IR--DE--0021,0.9714841218405703,0.9771838331160365,0.9743256418589535,3068.0
IR--DE--0028,1.0,0.9986962190352021,0.9993476842791911,767.0
IR--FE--0007,0.96815834767642,0.9774109470026064,0.9727626459143969,2302.0
IR--FE--0014,0.9395886889460154,0.9530638852672751,0.9462783171521035,2301.0
IR--FE--0021,0.9373659373659373,0.9491746307558645,0.9432333261385711,2302.0
N--N--N,0.9998564352882061,1.0,0.9999282124910266,13929.0
OR--DE--0007,0.979884115010386,0.987767247079568,0.983809889687723,9074.0
OR--DE--0014,0.9357442686470778,0.9445893089960886,0.9401459854014599,3068.0
OR--DE--0021,0.9687259112432551,0.9689393104967507,0.9688325991189427,9079.0
OR--FE--0007,0.9478957915831663,0.9590152063721941,0.9534230796918869,6905.0
OR--FE--0014,0.9525691699604744,0.9554013875123885,0.9539831766452251,3027.0
OR--FE--0021,0.9487750556792873,0.9252823631624674,0.9368814603034968,2302.0
accuracy,0.9662872802686154,0.9662872802686154,0.9662872802686154,0.9662872802686154
macro avg,0.9614383106244905,0.9594126811134037,0.9603784636137819,81008.0
weighted avg,0.9662505045351243,0.9662872802686154,0.9662343580898457,81008.0
