,precision,recall,f1-score,support
B--DE--0007,0.9287776708373436,0.9436114732724902,0.9361358124494745,3068.0
B--DE--0014,0.9476944253269098,0.8976531942633638,0.9219953130231001,3068.0
B--DE--0021,0.9413114754098361,0.9357887874837028,0.9385420071918927,3068.0
B--DE--0028,1.0,0.9986962190352021,0.9993476842791911,767.0
B--FE--0007,0.9675580885576501,0.959148196436332,0.9633347883020515,2301.0
B--FE--0014,0.9343680709534368,0.9152910512597741,0.9247311827956989,2302.0
B--FE--0021,0.9651982378854626,0.9517810599478714,0.9584426946631671,2302.0
IR--DE--0007,0.9954471544715447,0.9977183833116037,0.996581474849422,3068.0
IR--DE--0014,0.9489448604492853,0.9482993197278912,0.9486219802653963,2940.0
IR--DE--0021,0.9718264248704663,0.978161668839635,0.9749837556855101,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9671848013816926,0.973489787049109,0.9703270521983972,2301.0
IR--FE--0014,0.9391716997411562,0.9456993918331885,0.9424242424242424,2302.0
IR--FE--0021,0.9396662387676509,0.954367666232073,0.9469598965071151,2301.0
N--N--N,0.9997129117921482,1.0,0.9998564352882061,13929.0
OR--DE--0007,0.9807587187055865,0.9886488869296892,0.9846879973656769,9074.0
OR--DE--0014,0.9295638126009693,0.9377444589308996,0.9336362161285089,3068.0
OR--DE--0021,0.9693406593406594,0.9715827734331975,0.9704604213653116,9079.0
OR--FE--0007,0.9483972976857841,0.9555394641564084,0.9519549848506709,6905.0
OR--FE--0014,0.9483892176199868,0.952774108322325,0.9505766062602965,3028.0
OR--FE--0021,0.938194753223655,0.9169926119078662,0.9274725274725275,2301.0
accuracy,0.9654968089177478,0.9654968089177478,0.9654968089177478,0.9654968089177478
macro avg,0.9600717390295821,0.9582375477320296,0.9590987177793264,81007.0
weighted avg,0.9654645516236845,0.9654968089177478,0.9654377492647714,81007.0
