,precision,recall,f1-score,support
B--DE--0007,0.921875,0.9230769230769231,0.9224755700325733,3068.0
B--DE--0014,0.9271186440677966,0.8914602346805737,0.9089398471252907,3068.0
B--DE--0021,0.9301942706618374,0.9207953063885267,0.9254709254709255,3068.0
B--DE--0028,1.0,0.9986979166666666,0.9993485342019544,768.0
B--FE--0007,0.9609649122807018,0.9517810599478714,0.9563509384548232,2302.0
B--FE--0014,0.9306049822064056,0.9091699261190787,0.9197625851835568,2301.0
B--FE--0021,0.9550660792951542,0.9417897480451781,0.9483814523184602,2302.0
IR--DE--0007,0.9957737321196359,0.9983702737940026,0.9970703125,3068.0
IR--DE--0014,0.9423404981235073,0.9397754338210276,0.9410562180579216,2939.0
IR--DE--0021,0.9580103359173127,0.9667535853976532,0.9623621025308241,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9567266495287061,0.9700260642919201,0.9633304572907679,2302.0
IR--FE--0014,0.9346885813148789,0.9391568883094307,0.936917407327119,2301.0
IR--FE--0021,0.9139603542808942,0.9413553431798436,0.9274555959768885,2302.0
N--N--N,0.9999282124910266,1.0,0.9999641049571054,13929.0
OR--DE--0007,0.973017260214114,0.9815957681287194,0.9772876892692561,9074.0
OR--DE--0014,0.9123086734693877,0.932529335071708,0.9223081882656351,3068.0
OR--DE--0021,0.9638474295190713,0.9602379116642802,0.9620392849260649,9079.0
OR--FE--0007,0.9406097210238712,0.9472845763939175,0.9439353488707699,6905.0
OR--FE--0014,0.9306736429038587,0.9402048232573506,0.9354149548069022,3027.0
OR--FE--0021,0.936036036036036,0.9026933101650738,0.91906236178682,2302.0
accuracy,0.9580411811179143,0.9580411811179143,0.9580411811179143,0.9580411811179143
macro avg,0.9516069054978187,0.9503216394476068,0.9509016133025551,81008.0
weighted avg,0.9580296858535644,0.9580411811179143,0.9579905055969066,81008.0
