,Fold,Accuracy,F1_Score,Precision,Recall
0,1.0,0.9580411811179143,0.9579905055969066,0.9580296858535644,0.9580411811179143
1,2.0,0.956300072833212,0.9562677752931562,0.9563233660069671,0.956300072833212
2,3.0,0.9567321342600023,0.9566792937989196,0.9567530291722751,0.9567321342600023
3,4.0,0.9572876418087326,0.9572170190976409,0.9572962379335098,0.9572876418087326
4,5.0,0.9560038021405558,0.9559413162275588,0.9559941734530593,0.9560038021405558
Mean,3.0,0.9568729664320834,0.9568191820028364,0.9568792984838751,0.9568729664320834
Std,1.4142135623730951,0.000726659282219348,0.0007245053077109949,0.0007218976081290366,0.000726659282219348
