,Fold,Accuracy,F1_Score,Precision,Recall
0,1.0,0.9633863322141023,0.9633497462380328,0.9633824613487485,0.9633863322141023
1,2.0,0.9618428037083215,0.9618140910287533,0.9618658748905814,0.9618428037083215
2,3.0,0.9635093263545126,0.963460438280591,0.9635027131279268,0.9635093263545126
3,4.0,0.962682237337514,0.9626347098255167,0.9626829262332618,0.962682237337514
4,5.0,0.9621884528497537,0.962141682830166,0.9621796966717737,0.9621884528497537
Mean,3.0,0.9627218304928409,0.9626801336406119,0.9627227344544584,0.9627218304928409
Std,1.4142135623730951,0.0006512234156886257,0.0006479627713997685,0.0006440946120284797,0.0006512234156886257
