,precision,recall,f1-score,support
B--DE--0007,0.8910829990743597,0.9413298565840938,0.9155175146615945,3068.0
B--DE--0014,0.9404600811907984,0.9061277705345502,0.9229747675962816,3068.0
B--DE--0021,0.9248170326014638,0.9061277705345502,0.9153770167928877,3068.0
B--DE--0028,1.0,1.0,1.0,767.0
B--FE--0007,0.9394837071519255,0.9647979139504563,0.9519725557461407,2301.0
B--FE--0014,0.9571020019065777,0.8722849695916595,0.9127272727272727,2302.0
B--FE--0021,0.9629133154602324,0.9361424847958297,0.9493392070484582,2302.0
IR--DE--0007,0.9903100775193798,0.999348109517601,0.9948085658663205,3068.0
IR--DE--0014,0.9507735583684951,0.9197278911564626,0.9349930843706777,2940.0
IR--DE--0021,0.9655396618985695,0.9680573663624511,0.966796875,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9164985881403792,0.9873967840069535,0.9506276150627614,2301.0
IR--FE--0014,0.9397485912440399,0.9417897480451781,0.9407680624864395,2302.0
IR--FE--0021,0.9109278350515464,0.9600173837461973,0.9348286077020735,2301.0
N--N--N,1.0,1.0,1.0,13929.0
OR--DE--0007,0.9682436811406351,0.9878774520608331,0.9779620336024438,9074.0
OR--DE--0014,0.9269606193200942,0.8976531942633638,0.9120715350223547,3068.0
OR--DE--0021,0.968584656084656,0.9678378676065647,0.9682111178447469,9079.0
OR--FE--0007,0.9554206161137441,0.9342505430847212,0.9447169949476458,6905.0
OR--FE--0014,0.9282265851303508,0.952443857331572,0.9401792991035045,3028.0
OR--FE--0021,0.9206208425720621,0.9022164276401564,0.9113257243195785,2301.0
accuracy,0.957929561642821,0.957929561642821,0.957929561642821,0.957929561642821
macro avg,0.9503673547604433,0.9497822567053904,0.9497713261857706,81007.0
weighted avg,0.9581259306490921,0.957929561642821,0.9578153846764422,81007.0
