,precision,recall,f1-score,support
B--DE--0007,0.890021624961384,0.9390482398956975,0.9138778747026169,3068.0
B--DE--0014,0.9265593561368209,0.9005867014341591,0.9133884297520661,3068.0
B--DE--0021,0.9509071504802561,0.871251629726206,0.909338322844021,3068.0
B--DE--0028,1.0,1.0,1.0,767.0
B--FE--0007,0.9657777777777777,0.9439617723718505,0.9547451669595782,2302.0
B--FE--0014,0.9331562638335547,0.9161234245980009,0.9245614035087719,2301.0
B--FE--0021,0.9025285481239804,0.9613379669852302,0.9310054690786707,2302.0
IR--DE--0007,0.9966953073364178,0.9830508474576272,0.9898260584181162,3068.0
IR--DE--0014,0.9331523583305056,0.935374149659864,0.9342619330728724,2940.0
IR--DE--0021,0.9640974967061924,0.9540417209908736,0.959043250327654,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9543340380549683,0.9808778791829639,0.967423917702529,2301.0
IR--FE--0014,0.9330204778156996,0.9500434404865334,0.941455015066724,2302.0
IR--FE--0021,0.9261744966442953,0.9591659426585578,0.9423815620998721,2302.0
N--N--N,0.9994976677430929,1.0,0.9997487707712737,13928.0
OR--DE--0007,0.9741351085888901,0.9836896627727574,0.9788890716674892,9074.0
OR--DE--0014,0.924375422012154,0.8924380704041721,0.9081260364842454,3068.0
OR--DE--0021,0.9529310158695887,0.9722436391673092,0.9624904590557193,9079.0
OR--FE--0007,0.9406792012826118,0.9348203939745076,0.9377406465673811,6904.0
OR--FE--0014,0.9441707717569786,0.9494715984147952,0.946813765848839,3028.0
OR--FE--0021,0.9530450953045095,0.8905299739357081,0.9207275993712105,2302.0
accuracy,0.9565593096892862,0.9565593096892862,0.9565593096892862,0.9565593096892862
macro avg,0.9507266275599848,0.9484789073388962,0.9493259406333165,81007.0
weighted avg,0.9567434309807339,0.9565593096892862,0.9564477442922353,81007.0
