,precision,recall,f1-score,support
B--DE--0007,0.9294959128065395,0.8895045632333768,0.9090606262491672,3068.0
B--DE--0014,0.9131570355860268,0.9116688396349413,0.9124123307780134,3068.0
B--DE--0021,0.9124513618677043,0.9172099087353325,0.9148244473342002,3068.0
B--DE--0028,1.0,0.9973924380704041,0.9986945169712794,767.0
B--FE--0007,0.9526730937773883,0.944806605823555,0.9487235435304386,2301.0
B--FE--0014,0.944018058690745,0.9083405734144222,0.9258357316803189,2302.0
B--FE--0021,0.9362892811020233,0.9452411994784876,0.9407439446366782,2301.0
IR--DE--0007,0.9889789303079417,0.9944589308996089,0.991711360312043,3068.0
IR--DE--0014,0.9416182997610106,0.9380952380952381,0.9398534673709321,2940.0
IR--DE--0021,0.9649869109947644,0.961212516297262,0.9630960156760286,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9567081011573082,0.9695916594265855,0.9631067961165048,2302.0
IR--FE--0014,0.9441215914170764,0.9174630755864466,0.9306014540647719,2302.0
IR--FE--0021,0.892770105605199,0.9552368535419383,0.9229477220239345,2301.0
N--N--N,1.0,0.9998564146744203,0.9999282021826537,13929.0
OR--DE--0007,0.985209074733096,0.9763059290279921,0.9807372965792094,9074.0
OR--DE--0014,0.8913857677902621,0.9308996088657105,0.9107142857142858,3068.0
OR--DE--0021,0.9625192349967026,0.9645335389360061,0.9635253342135665,9079.0
OR--FE--0007,0.9528841919859093,0.9401882693700218,0.9464936579676339,6905.0
OR--FE--0014,0.9641614474599861,0.9151254953764861,0.9390037275499831,3028.0
OR--FE--0021,0.8618266978922716,0.9595827900912647,0.9080814312152992,2301.0
accuracy,0.9564852420161221,0.9564852420161221,0.9564852420161221,0.9564852420161221
macro avg,0.9473930999015217,0.9493673546942619,0.9480998043889021,81007.0
weighted avg,0.9570021262602659,0.9564852420161221,0.9565580809481553,81007.0
