,precision,recall,f1-score,support
B--DE--0007,0.9042218021424071,0.9354628422425033,0.919577058635053,3068.0
B--DE--0014,0.9299128101945003,0.9038461538461539,0.9166942148760331,3068.0
B--DE--0021,0.9381096535486041,0.9090612777053455,0.9233570600893891,3068.0
B--DE--0028,1.0,0.9973958333333334,0.998696219035202,768.0
B--FE--0007,0.9545060658578857,0.9569939183318853,0.9557483731019523,2302.0
B--FE--0014,0.9451871657754011,0.9217731421121251,0.9333333333333333,2301.0
B--FE--0021,0.9532342657342657,0.9474370112945265,0.9503267973856209,2302.0
IR--DE--0007,0.9899741267787839,0.9977183833116037,0.9938311688311687,3068.0
IR--DE--0014,0.9535625664657923,0.9152773052058524,0.9340277777777779,2939.0
IR--DE--0021,0.9483687044662654,0.9758800521512386,0.9619277108433735,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9635506003430532,0.976107732406603,0.9697885196374623,2302.0
IR--FE--0014,0.9520069808027923,0.9482833550630161,0.9501415197038972,2301.0
IR--FE--0021,0.9184514003294892,0.9687228496959166,0.9429175475687104,2302.0
N--N--N,0.9997846683893196,1.0,0.999892322601486,13929.0
OR--DE--0007,0.9789288849868305,0.9830284328851664,0.9809743758935444,9074.0
OR--DE--0014,0.9342690859294762,0.8895045632333768,0.9113374519953248,3068.0
OR--DE--0021,0.9643877775335239,0.9664059918493226,0.9653958298949222,9079.0
OR--FE--0007,0.9547360809833695,0.956118754525706,0.9554269175108538,6905.0
OR--FE--0014,0.9528830313014827,0.9554013875123885,0.9541405476740349,3027.0
OR--FE--0021,0.9118515394348377,0.9391833188531712,0.9253156430558527,2302.0
accuracy,0.9614112186450721,0.9614112186450721,0.9614112186450721,0.9614112186450721
macro avg,0.9546632005237182,0.9544572526456777,0.9544214471164284,81008.0
weighted avg,0.9614576280358956,0.9614112186450721,0.9613344479025955,81008.0
