feature,importance
特征52,0.04979736945595018
特征44,0.037593402030582784
特征39,0.03695183778350876
特征43,0.03593957301408252
特征45,0.03461774932068137
特征31,0.03341305674863032
特征46,0.03191374690216749
特征33,0.03165549537492173
特征41,0.030761117045258034
特征40,0.029610666290918467
特征36,0.028574154332601364
特征47,0.02846755016314312
特征34,0.02825833277658504
特征51,0.02773360348392824
特征42,0.027485505598761884
特征28,0.02686955637977133
特征50,0.026869372043055298
特征32,0.024715671811699303
特征38,0.02326831057053616
特征25,0.021710490263134166
特征37,0.020581220194798387
特征26,0.020194808402171013
特征49,0.0201486696103122
特征14,0.01937996760286457
特征30,0.019128729876680472
特征5,0.018712664207363214
特征3,0.01852815842220668
特征19,0.01647127797347722
特征4,0.016052761569560127
特征18,0.016042550567179514
特征22,0.014653871347367177
特征13,0.014260621945285315
特征55,0.013603881860315923
特征48,0.013414684814284782
特征53,0.01339637106283489
特征17,0.012839009963181103
特征16,0.010875246030541129
特征35,0.010750815915235492
特征15,0.010333869879198211
特征24,0.01021932216797242
特征7,0.009533448420274437
特征9,0.009292395723127556
特征6,0.009230809346180523
特征11,0.00914407437406231
特征54,0.008612718380770892
特征12,0.005987455072853828
特征8,0.005657997728319101
特征10,0.00477635115461465
特征1,0.004163657797056606
特征27,0.0029691797063948616
特征2,0.0028588219908332736
特征23,0.0019780255027645344
特征21,0.0
特征20,0.0
特征29,0.0
