,precision,recall,f1-score,support
B--DE,0.8912954218846233,0.870738066586442,0.8808968245916607,9972.0
B--FE,0.9096530920060332,0.8734250543084722,0.8911710380495013,6905.0
IR--DE,0.9601637711629966,0.8816297500508027,0.9192224164415488,9842.0
IR--FE,0.9178123132098027,0.8895003620564809,0.9034345811576083,6905.0
N--N,1.0,0.9995692440232609,0.9997845756139595,13929.0
OR--DE,0.91575141863445,0.9429810093775034,0.9291667634016669,21221.0
OR--FE,0.885470606152909,0.9504659146640511,0.916817787589687,12234.0
accuracy,0.927007209164527,0.927007209164527,0.927007209164527,0.927007209164527
macro avg,0.925735231864402,0.9154727715810019,0.9200705695493759,81008.0
weighted avg,0.9277057408694372,0.927007209164527,0.9268620137679822,81008.0
