,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,8565,38,90,88,8,1118,64
B--FE,111,5966,59,263,0,240,266
IR--DE,273,21,8552,48,7,920,22
IR--FE,65,122,23,6400,0,138,157
N--N,0,0,0,0,13929,0,0
OR--DE,462,37,230,48,3,20371,69
OR--FE,417,313,27,460,0,295,10722
