,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,7027,414,620,116,57,1300,437
B--FE,15,6378,90,244,0,66,111
IR--DE,79,57,9472,52,21,146,16
IR--FE,15,556,67,6019,0,15,233
N--N,0,0,0,0,13929,0,0
OR--DE,360,295,2586,196,29,17660,95
OR--FE,54,2168,59,701,0,113,9139
