,precision,recall,f1-score,support
B--DE,0.8689823278488726,0.8580884565239194,0.863501034465358,9971.0
B--FE,0.9279337769842558,0.8279507603186097,0.875095668146334,6905.0
IR--DE,0.9675149525038115,0.8381590978360256,0.8982035928143712,9843.0
IR--FE,0.8836657832333659,0.9174511223750905,0.9002415802188433,6905.0
N--N,0.998351372661458,1.0,0.9991750062771262,13928.0
OR--DE,0.8804640653515251,0.9548560388294614,0.916152368034362,21221.0
OR--FE,0.911986384634087,0.9198136341343796,0.9158832865340008,12234.0
accuracy,0.9172293752391769,0.9172293752391769,0.9172293752391769,0.9172293752391769
macro avg,0.9198426661739108,0.9023313014310694,0.9097503623557708,81007.0
weighted avg,0.9189770601385773,0.9172293752391769,0.9168687335122824,81007.0
