,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,8527,40,525,34,6,543,296
B--FE,65,5841,109,211,0,107,572
IR--DE,86,11,9561,13,1,144,27
IR--FE,81,150,97,6123,0,51,402
N--N,0,0,0,0,13929,0,0
OR--DE,816,82,1311,57,5,18799,151
OR--FE,79,223,31,168,0,77,11656
