,B--DE,B--FE,IR--DE,IR--FE,N--N,OR--DE,OR--FE
B--DE,8683,73,88,47,0,788,293
B--FE,42,6031,24,205,0,122,481
IR--DE,251,52,8677,44,0,776,42
IR--FE,52,148,26,6142,0,54,483
N--N,4,0,1,0,13923,1,0
OR--DE,643,92,212,58,0,20011,205
OR--FE,67,234,9,196,0,100,11628
